State,GDPPC,Cases
Alagoas,4776,255
Bahia,6055,991
Ceara,5360,437
Maranhao,4483,235
Paraiba,5195,853
Pernambuco,6724,1846
Piaui,4165,150
Rio Grande do Norte,6269,408
Sergipe,6746,205
Espirito Santo,15351,113
Minas Gerais,10402,76
Rio de Janeiro,15898,380
Sao Paulo,17208,256
Acre,6494,33
Amapa,7633,5
Amazonas,9138,13
Para,5977,24
Rondonia,7256,12
Roraima,7972,16
Tocantins,7050,133
Distrio Federal,33088,37
Goias,10304,121
Mato Grosso,13278,198
Mato Grosso do Sul,11128,18
Parana,12382,31
Santa Catarina,14213,3
Rio Grande do Sul,13193,57 
